disease,symptom,probability
Common Cold,fever,0.25
Common Cold,headache,0.40
Common Cold,cough,0.60
Common Cold,fatigue,0.40
Common Cold,weakness,0.20
Common Cold,nausea,0.05
Common Cold,vomiting,0.02
Common Cold,diarrhea,0.02
Common Cold,abdominal_pain,0.02
Common Cold,chest_pain,0.02
Common Cold,shortness_of_breath,0.03
Common Cold,sore_throat,0.70
Common Cold,runny_nose,0.90
Common Cold,sneezing,0.85
Common Cold,body_pain,0.25
Common Cold,chills,0.10
Common Cold,sweating,0.05
Common Cold,dizziness,0.05
Common Cold,joint_pain,0.10
Common Cold,muscle_pain,0.15
Common Cold,skin_rash,0.02
Common Cold,loss_of_appetite,0.15
Common Cold,wheezing,0.05
Common Cold,blurred_vision,0.02
Common Cold,excessive_thirst,0.05
Common Cold,frequent_urination,0.02
Common Cold,weight_loss,0.02
Common Cold,weight_gain,0.02
Common Cold,high_blood_pressure,0.02
Common Cold,nasal_congestion,0.85
Common Cold,loss_of_smell,0.30
Common Cold,loss_of_taste,0.15
Influenza,fever,0.90
Influenza,headache,0.80
Influenza,cough,0.75
Influenza,fatigue,0.85
Influenza,weakness,0.65
Influenza,nausea,0.30
Influenza,vomiting,0.20
Influenza,diarrhea,0.10
Influenza,abdominal_pain,0.10
Influenza,chest_pain,0.10
Influenza,shortness_of_breath,0.15
Influenza,sore_throat,0.60
Influenza,runny_nose,0.50
Influenza,sneezing,0.30
Influenza,body_pain,0.85
Influenza,chills,0.80
Influenza,sweating,0.40
Influenza,dizziness,0.20
Influenza,joint_pain,0.55
Influenza,muscle_pain,0.85
Influenza,skin_rash,0.02
Influenza,loss_of_appetite,0.60
Influenza,wheezing,0.10
Influenza,blurred_vision,0.05
Influenza,excessive_thirst,0.10
Influenza,frequent_urination,0.05
Influenza,weight_loss,0.05
Influenza,weight_gain,0.02
Influenza,high_blood_pressure,0.05
Influenza,nasal_congestion,0.40
Influenza,loss_of_smell,0.20
Influenza,loss_of_taste,0.15
Migraine,fever,0.05
Migraine,headache,1.00
Migraine,cough,0.02
Migraine,fatigue,0.50
Migraine,weakness,0.30
Migraine,nausea,0.80
Migraine,vomiting,0.50
Migraine,diarrhea,0.05
Migraine,abdominal_pain,0.05
Migraine,chest_pain,0.02
Migraine,shortness_of_breath,0.02
Migraine,sore_throat,0.02
Migraine,runny_nose,0.05
Migraine,sneezing,0.05
Migraine,body_pain,0.15
Migraine,chills,0.02
Migraine,sweating,0.15
Migraine,dizziness,0.45
Migraine,joint_pain,0.05
Migraine,muscle_pain,0.10
Migraine,skin_rash,0.01
Migraine,loss_of_appetite,0.50
Migraine,wheezing,0.02
Migraine,blurred_vision,0.55
Migraine,excessive_thirst,0.05
Migraine,frequent_urination,0.05
Migraine,weight_loss,0.02
Migraine,weight_gain,0.02
Migraine,high_blood_pressure,0.05
Migraine,nasal_congestion,0.02
Migraine,loss_of_smell,0.02
Migraine,loss_of_taste,0.02
Allergy,fever,0.05
Allergy,headache,0.15
Allergy,cough,0.25
Allergy,fatigue,0.20
Allergy,weakness,0.10
Allergy,nausea,0.05
Allergy,vomiting,0.01
Allergy,diarrhea,0.02
Allergy,abdominal_pain,0.02
Allergy,chest_pain,0.05
Allergy,shortness_of_breath,0.15
Allergy,sore_throat,0.20
Allergy,runny_nose,0.85
Allergy,sneezing,0.90
Allergy,body_pain,0.05
Allergy,chills,0.02
Allergy,sweating,0.02
Allergy,dizziness,0.05
Allergy,joint_pain,0.02
Allergy,muscle_pain,0.03
Allergy,skin_rash,0.50
Allergy,loss_of_appetite,0.05
Allergy,wheezing,0.25
Allergy,blurred_vision,0.02
Allergy,excessive_thirst,0.02
Allergy,frequent_urination,0.02
Allergy,weight_loss,0.02
Allergy,weight_gain,0.02
Allergy,high_blood_pressure,0.02
Allergy,nasal_congestion,0.65
Allergy,loss_of_smell,0.15
Allergy,loss_of_taste,0.05
Gastroenteritis,fever,0.45
Gastroenteritis,headache,0.30
Gastroenteritis,cough,0.02
Gastroenteritis,fatigue,0.50
Gastroenteritis,weakness,0.55
Gastroenteritis,nausea,0.85
Gastroenteritis,vomiting,0.85
Gastroenteritis,diarrhea,0.90
Gastroenteritis,abdominal_pain,0.80
Gastroenteritis,chest_pain,0.02
Gastroenteritis,shortness_of_breath,0.02
Gastroenteritis,sore_throat,0.05
Gastroenteritis,runny_nose,0.02
Gastroenteritis,sneezing,0.02
Gastroenteritis,body_pain,0.20
Gastroenteritis,chills,0.15
Gastroenteritis,sweating,0.15
Gastroenteritis,dizziness,0.25
Gastroenteritis,joint_pain,0.05
Gastroenteritis,muscle_pain,0.10
Gastroenteritis,skin_rash,0.02
Gastroenteritis,loss_of_appetite,0.75
Gastroenteritis,wheezing,0.02
Gastroenteritis,blurred_vision,0.05
Gastroenteritis,excessive_thirst,0.15
